Facility Permit #,Establishment Name,Facility Name,Facility Street No.,Facility Street Name,Facility Unit No,Facility City,Facility State,Facility Zip,Business Status,Facility Type,Permit Type,Web Site,Operational Status,Location 1
105487,Up In Smoke - Market,Up In Smoke - Market,8360,E Bannister Rd.,,Kansas City,MISSOURI,64134,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"8360 Bannister Rd
Kansas City, MO 64134
(38.95172455900047, -94.49243159999969)"
106482,Stadium BP,Stadium BP,4009,Blue Ridge Cut Off,,Kansas City,MISSOURI,64113,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"4009 Blue Ridge
Cut Off Kansas City, MO 64113
(39.013360573000455, -94.59306944999969)"
106191,Los Tres Hermanos (Market),Los Tres Hermanos (Market),3430,Independence Ave,,Kansas City,MISSOURI,64124,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"3430 Independence Ave
Kansas City, MO 64124
(39.10595794900047, -94.54070971799968)"
106725,Conoco-Phillips,Conoco-Phillips,10921,Hickman Mills Dr.,,Kansas City,MISSOURI,64137,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"10921 Hickman Mills Dr
Kansas City, MO 64137
(38.925376945000494, -94.52458161399966)"
105488,Phillips 66,Phillips 66,10322, Blue Ridge Blvd,,Kansas City,MISSOURI,64134,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"10322 Blue Ridge Blvd
Kansas City, MO 64134
(38.9363149670005, -94.50852457299965)"
106827,IB Dollar,IB Dollar,4614,St. John,,Kansas City,MISSOURI,64123,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"4614 St
John Kansas City, MO 64123
(39.11344343000047, -94.52553937499965)"
106726,Dollar General Store #14543,Dollar General Store #14543,551,E. 99th St.,,Kansas City,MISSOURI,64131,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"551 99th St
Kansas City, MO 64131
(38.94834505200049, -94.5844834239997)"
105920,Jerusalem Bakery (Market),Jerusalem Bakery (Market),1404,Westport Rd.,,Kansas City,MISSOURI,64111,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"1404 Westport Rd
Kansas City, MO 64111
(39.05011777600049, -94.60352961699965)"
106141,Embassy Suites KCI- Gift Shop,Embassy Suites KCI- Gift Shop,7640,NW Tiffany Springs Pkwy,,Kansas City,MISSOURI,64153,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"7640 Tiffany Springs Pkwy
Kansas City, MO 64153
(39.274273785000446, -94.66662553699967)"
106229,Tortilleria El Paisa (Market),Tortilleria El Paisa (Market),6406,East 87th st,,Kansas City ,MISSOURI,64138,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"6406 87th st
Kansas City, MO 64138
(38.96726297100048, -94.5153489759997)"
105490,Save A Lot Grocery Store,Save A Lot Grocery Store,6859,Longview,,Kansas City,MISSOURI,64134,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"6859 Longview
Kansas City, MO 64134
(38.9153747040005, -94.51242736899968)"
106803,Aldi,Aldi,3830,Prospect,,Kansas City,MISSOURI,64128,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"3830 Prospect
Kansas City, MO 64128
(39.05663515200047, -94.55354474499967)"
105935,Season + Square Tasteful Goods,Season + Square Tasteful Goods,6205,Oak St.,,Kansas City,MISSOURI,64113,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"6205 Oak St
Kansas City, MO 64113
(39.01445903600046, -94.58369593899965)"
106805,Brooklyn Convenience Mart - Retail,Brooklyn Convenience Mart - Retail,2462,Brooklyn Ave.,,Kansas City,MISSOURI,64127,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"2462 Brooklyn Ave
Kansas City, MO 64127
(39.081463020000456, -94.55692708299966)"
106487,Comfort Suites (market),Comfort Suites (market),8200,N. Church Rd.,,Kansas City,MISSOURI,64158,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"8200 Church Rd
Kansas City, MO 64158
(39.24042396600049, -94.46084971999966)"
